151,3812424,長野県長野市信州新町左右
152,3812411,長野県長野市信州新町竹房
153,3812415,長野県長野市信州新町中牧
154,3812421,長野県長野市信州新町信級
155,3812423,長野県長野市信州新町日原西
156,3812422,長野県長野市信州新町日原東
157,3812416,長野県長野市信州新町弘崎
158,3812414,長野県長野市信州新町牧田中
159,3812412,長野県長野市信州新町牧野島
160,3812403,長野県長野市信州新町水内
161,3812402,長野県長野市信州新町山上条
162,3812407,長野県長野市信州新町山穂刈
163,3800873,長野県長野市新諏訪
164,3800873,長野県長野市新諏訪町
165,3800835,長野県長野市新田町
166,3800853,長野県長野市新町
167,3888020,長野県長野市神明
168,3800825,長野県長野市末広町
169,3800844,長野県長野市諏訪町
170,3810071,長野県長野市台ケ窪
171,3800841,長野県長野市大門町
172,3810034,長野県長野市高田
173,3810087,長野県長野市田子
174,3800884,長野県長野市鑪
175,3800864,長野県長野市立町
176,3810086,長野県長野市田中
177,3800815,長野県長野市田町
178,3812246,長野県長野市丹波島
179,3810002,長野県長野市津野
180,3800872,長野県長野市妻科
181,3800901,長野県長野市鶴賀（居町）
182,3800821,長野県長野市鶴賀（上千歳町）
183,3800833,長野県長野市鶴賀（権堂町）
184,3800812,長野県長野市鶴賀（早苗町）
185,3800815,長野県長野市鶴賀（田町）
186,3800834,長野県長野市鶴賀（問御所町）
187,3800902,長野県長野市鶴賀（中堰）
188,3800906,長野県長野市鶴賀（七瀬）
189,3800904,長野県長野市鶴賀（七瀬中町）
190,3800905,長野県長野市鶴賀（七瀬南部）
191,3800814,長野県長野市鶴賀（西鶴賀町）
192,3800811,長野県長野市鶴賀（東鶴賀町）
193,3800813,長野県長野市鶴賀（緑町）
194,3800822,長野県長野市鶴賀（南千歳町）
195,3800903,長野県長野市鶴賀（峰村）
196,3800834,長野県長野市問御所町
197,3814101,長野県長野市戸隠
198,3814103,長野県長野市戸隠祖山
199,3814104,長野県長野市戸隠栃原
200,3814102,長野県長野市戸隠豊岡
201,3810041,長野県長野市徳間
202,3800882,長野県長野市富田
203,3810006,長野県長野市富竹
204,3891104,長野県長野市豊野町浅野
205,3891106,長野県長野市豊野町石
206,3891102,長野県長野市豊野町大倉
207,3891103,長野県長野市豊野町蟹沢
208,3891101,長野県長野市豊野町川谷
209,3891105,長野県長野市豊野町豊野
210,3891107,長野県長野市豊野町南郷
211,3810044,長野県長野市中越
212,3800935,長野県長野市中御所
213,3800934,長野県長野市中御所町
214,3813203,長野県長野市中条
215,3813202,長野県長野市中条日下野
216,3813205,長野県長野市中条住良木
217,3813201,長野県長野市中条日高
218,3813204,長野県長野市中条御山里
219,3810074,長野県長野市中曽根
220,3800843,長野県長野市長門町
221,3800906,長野県長野市七瀬
222,3800904,長野県長野市七瀬中町
223,3800905,長野県長野市七瀬南部
224,3813164,長野県長野市七二会乙
225,3813163,長野県長野市七二会己
226,3813165,長野県長野市七二会甲
227,3813161,長野県長野市七二会丁
228,3813166,長野県長野市七二会丙
229,3813162,長野県長野市七二会戊
230,3810031,長野県長野市西尾張部
231,3800845,長野県長野市西後町
232,3810083,長野県長野市西三才
233,3800814,長野県長野市西鶴賀町
234,3800871,長野県長野市西長野町
235,3800857,長野県長野市西之門町
236,3800842,長野県長野市西町
237,3810037,長野県長野市西和田
238,3800801,長野県長野市箱清水
239,3800865,長野県長野市花咲町
240,3800832,長野県長野市東後町
241,3888001,長野県長野市東犀南
242,3800811,長野県長野市東鶴賀町
243,3800852,長野県長野市東之門町
244,3800831,長野県長野市東町
245,3810038,長野県長野市東和田
246,3800947,長野県長野市平柴
247,3800946,長野県長野市平柴台
248,3810036,長野県長野市平林
249,3800886,長野県長野市広瀬
250,3812213,長野県長野市広田
251,3810003,長野県長野市穂保
252,3812203,長野県長野市真島町川合
253,3812204,長野県長野市真島町真島
254,3810026,長野県長野市松岡
255,3811226,長野県長野市松代温泉
256,3811234,長野県長野市松代町岩野
257,3811211,長野県長野市松代町大室
258,3811213,長野県長野市松代町小島田
259,3811233,長野県長野市松代町清野
260,3811214,長野県長野市松代町柴
261,3811224,長野県長野市松代町城東
262,3811235,長野県長野市松代町城北
263,3811222,長野県長野市松代町豊栄
264,3811232,長野県長野市松代町西条
265,3811215,長野県長野市松代町西寺尾
266,3811221,長野県長野市松代町東条
267,3811225,長野県長野市松代町東寺尾
268,3811212,長野県長野市松代町牧島
269,3811231,長野県長野市松代町松代
270,3810022,長野県長野市大豆島
271,3810052,長野県長野市檀田
272,3888013,長野県長野市みこと川
273,3810076,長野県長野市三ツ出
274,3800813,長野県長野市緑町
275,3811223,長野県長野市皆神台
276,3800836,長野県長野市南県町
277,3800824,長野県長野市南石堂町
278,3810033,長野県長野市南高田
279,3800823,長野県長野市南千歳
280,3800822,長野県長野市南千歳町
281,3810024,長野県長野市南長池
282,3800837,長野県長野市南長野（幅下）
283,3810016,長野県長野市南堀
284,3800952,長野県長野市宮沖
285,3800803,長野県長野市三輪
286,3800816,長野県長野市三輪田町
287,3810011,長野県長野市村山
288,3800874,長野県長野市茂菅
289,3800851,長野県長野市元善町
290,3810055,長野県長野市屋敷田
291,3810021,長野県長野市屋島
292,3810012,長野県長野市柳原
293,3800805,長野県長野市柳町
294,3800876,長野県長野市山田中
295,3800861,長野県長野市横沢町
296,3800856,長野県長野市横町
297,3800807,長野県長野市横山
298,3810088,長野県長野市吉
299,3810043,長野県長野市吉田
300,3800806,長野県長野市淀ケ橋
301,3800928,長野県長野市若里
302,3810084,長野県長野市若槻東条
303,3810051,長野県長野市若槻団地
304,3810089,長野県長野市若槻西条
305,3810103,長野県長野市若穂川田
306,3810102,長野県長野市若穂保科
307,3810101,長野県長野市若穂綿内
308,3812201,長野県長野市若穂牛島（１２９８〜１８３５番地）
309,3810104,長野県長野市若穂牛島（その他）
310,3800847,長野県長野市若松町
311,3810032,長野県長野市若宮
312,3990000,長野県松本市以下に掲載がない場合
313,3997402,長野県松本市会田
314,3900812,長野県松本市県
315,3997415,長野県松本市赤怒田
316,3900802,長野県松本市旭
317,3900303,長野県松本市浅間温泉
318,3901702,長野県松本市梓川梓
319,3901703,長野県松本市梓川上野
320,3901701,長野県松本市梓川倭
321,3901504,長野県松本市安曇（稲核）
322,3901501,長野県松本市安曇（大野田）
323,3901516,長野県松本市安曇（上高地）
324,3901514,長野県松本市安曇（沢渡）
325,3901502,長野県松本市安曇（島々）
326,3901515,長野県松本市安曇（白骨）
327,3901513,長野県松本市安曇（鈴蘭）
328,3901511,長野県松本市安曇（千石平）
329,3901512,長野県松本市安曇（楢ノ木）
330,3901503,長野県松本市安曇（橋場）
331,3901506,長野県松本市安曇（番所）
332,3901507,長野県松本市安曇（宮の原）
333,3901520,長野県松本市安曇（その他）
334,3997403,長野県松本市穴沢
335,3900861,長野県松本市蟻ケ崎
336,3900867,長野県松本市蟻ケ崎台
337,3900831,長野県松本市井川城
338,3900845,長野県松本市石芝（１、２丁目）
339,3990007,長野県松本市石芝（３、４丁目）
